Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000162054672351965,0.0495949934981655,0.123001776586946,0,0,0,21.5288238970587,0.454358398448651,0.000473772825612187,2.95148274357809E-05,0.331958685950884,-0.00566130840497637,0.73013765984204,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/base_link.STL,,底座+旋轉台-ASM-001-1/215H-转向器-106-88-2/215H-转向器-106-88.STEP-2/215H右.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J1,-0.0603541831679253,0.258704060751816,-0.000969190157743438,0,0,0,53.9719618325615,1.70398365645003,-0.00338718972975684,-0.000770567077376284,0.579116862993089,-0.0679655694994835,1.57065492670546,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J1.STL,,手-ASM-007-07-調動作-1/手腕-掌段-搖-下段內結構-AMS-007-1/手腕-搖擺-內結構007-1,J1,Axis_J1,J1,revolute,0,0,0.267,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
J2,0.0855217124773731,0.373235062034317,0.0315732771170133,0,0,0,41.359901272997,0.646598342545983,0.00725765787379437,-0.000409356278832458,0.310009425369267,0.0887613859985803,0.649813903413905,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J2.STL,,手-ASM-007-07-調動作-1/RSN160-手腕段聯桿-007-ASM-001-1/RSN160-手腕段聯桿-007-1;手-ASM-007-07-調動作-1/RSN160-手腕段聯桿-007--001-ASM-001-1/RSN160-手腕段聯桿-007-001-1;手-ASM-007-07-調動作-1/手腕-掌段-搖-內結構-AMS-007-1/中指手腕段-搖擺-內結構007-1,J2,Axis_J2,J2,revolute,0.0235,0.25,0,3.1416,0,3.1416,J1,-1,0,0,0,0,0,0,,,,,,,,
J3,0.0397853851770521,0.689164700094247,-0.0590258484876579,0,0,0,83.0154089780717,2.61029498539962,-0.0642451708552979,0.0181007715715592,0.34801715793667,-0.0299089625027216,2.64548700828987,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J3.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指掌段-搖-內結構-AMS-007-1/中指掌段-後段-中段-指尖-內結構-AMS-007-1/中指掌段-搖擺-手腕-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指掌段-搖-內結構-AMS-007-1/無名指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指掌段-搖-內結構-AMS-007-1/小指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指掌段-搖-內結構-AMS-007-1/食指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指掌段-搖擺-手腕-內結構007-1,J3,Axis_J3,J3,revolute,0.0235000000000002,0.5,0.0450000000000001,3.14159265358979,-1.5707963267949,0,J2,-1,0,0,0,0,0,0,,,,,,,,
44,0.0235804424800037,0.0995064625218145,0.0440884450905126,0,0,0,0.601730479755884,0.00130809106003844,9.31756207818538E-06,4.98667220198601E-06,0.000848370282751268,-0.000427416158804759,0.000877126769346819,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/44.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/44.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小.無名.食指後段-搖擺-軸心-內結構007-ASM-001-1/小.無名.食指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-小指-聯桿-007-ASM-002-1/eRob90-小指-聯桿-007-001-1,44,Axis_44,44,revolute,-0.387872102027654,0.999806552037383,0.103691479774955,2.34168598125918,0.765281674627553,-2.99413090070427,J3,-1,0,0,0,0,0,0,,,,,,,,
43,-0.000920378322012638,0.191952409524569,-9.53778877312017E-06,0,0,0,0.9826000337601,0.0151893810686327,-0.000497853915455481,2.67839853659683E-08,0.000675934354285286,-1.16509671549674E-06,0.0146477533675474,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/43.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/43.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指後段內結構007-1,43,Axis_43,43,revolute,-0.00479999995492499,0.158808388985254,0.0629062848720496,1.5707963267949,-1.08558565747861,-1.5707963267949,44,1,0,0,0,0,0,0,,,,,,,,
42,0.00450486603662237,0.137197568248204,-1.29125286574272E-08,0,0,0,0.466934387198078,0.00320932972831658,-0.000291368687908495,-5.78449020453842E-11,0.000285868868736747,1.94195393937052E-10,0.00302614008485671,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/42.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/42.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指指尖段+中段重量評估-ASM-007-1/小指中段內結構007-001-2,42,Axis_42,42,revolute,0.000499999912289995,0.411,0,0,0,0,43,-1,0,0,0,0,0,0,,,,,,,,
41,-0.00503006610120627,0.142315521477699,2.02094333767722E-08,0,0,0,0.228674551880057,0.00257593192144187,5.52911190034121E-06,1.14642260528458E-11,7.78710640966879E-05,-2.31678912653802E-10,0.00250092383205119,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/41.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/41.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指指尖段+中段重量評估-ASM-007-1/小指指尖段重量評估-ASM-007-1/小指.無名指.食指指尖內結構007-1,41,Axis_41,41,revolute,0.013,0.279,0,0,0,0,42,1,0,0,0,0,0,0,,,,,,,,
34,0.0234472767582609,0.106354146551779,0.0271426118622773,0,0,0,0.5848704637547,0.00124681062934242,1.05678683000887E-05,6.03069227929224E-08,0.000469904967599495,-0.000284161753120328,0.00119388611469227,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/34.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/34.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/小.無名.食指後段-搖擺-軸心-內結構007-ASM-001-1/小.無名.食指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-無名指-聯桿-007-ASM-001-1/eRob90-無名指-聯桿-007-001-1,34,Axis_34,34,revolute,-0.145553336451425,1.10733987562554,-0.0621192328845845,2.67703643748493,1.2077198834197,-3.10822377014945,J3,-1,0,0,0,0,0,0,,,,,,,,
33,-0.000713163653423443,0.263769432054027,-7.45236368998592E-06,0,0,0,1.31712008748802,0.035958565277887,-0.000726505496456917,2.7135532000306E-07,0.000934016974753022,1.88777102364451E-05,0.0352084511271497,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/33.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/33.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/無名指指尖+中段+後段段重量評估-ASM-007-1/無名.食指後段內結構007-1,33,Axis_33,33,revolute,-0.00479999995492517,0.163737247319439,0.0193720679030269,-1.57079632679284,-1.57031143397797,1.57079632679272,34,1,0,0,0,0,0,0,,,,,,,,
32,0.00297889524657813,0.210738457205825,-2.31054239629991E-08,0,0,0,0.682391054794693,0.0102030650465216,-0.000497175916560071,-1.0873316309834E-10,0.000404883687037689,1.44529639142376E-09,0.00991839929182711,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/32.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/32.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/無名指指尖+中段+後段段重量評估-ASM-007-1/無名指指尖+中段段重量評估-ASM-007-1/無名指中段內結構007-001-1,32,Axis_32,32,revolute,0.00049999991228955,0.558999999999999,0,0,0,0,33,-1,0,0,0,0,0,0,,,,,,,,
31,-0.00503006551524909,0.142315509990039,1.82896764955309E-08,0,0,0,0.228674533254763,0.00257593152540865,5.52909493724437E-06,1.26793295372567E-11,7.78710619103073E-05,-1.59837604054254E-10,0.00250092343574424,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/31.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/31.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/無名指指尖+中段+後段段重量評估-ASM-007-1/無名指指尖+中段段重量評估-ASM-007-1/無名指指尖段重量評估-ASM-007-1/小指.無名指.食指指尖內結構007-1,31,Axis_31,31,revolute,0.0130000000000182,0.419,0,0,0,0,32,1,0,0,0,0,0,0,,,,,,,,
24,0.0192637742220241,0.0994316136485516,0.0466466766917903,0,0,0,0.660012391226825,0.00170133277744437,2.97528165638997E-05,7.64837740867523E-06,0.000984663242191655,-0.000609687122843908,0.00144254750116698,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/24.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/24.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指指尖-中段-後段-內結構-ASM-007-000-1/中指後段-搖擺-軸心-內結構007-ASM-001-1/中指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob110-聯桿-007-ASM-002-4/eRob110-聯桿-007-000-1,24,Axis_24,24,revolute,0.152474160440312,1.195,-0.1148,0.487869906416979,1.5707963267949,0,J3,-1,0,0,0,0,0,0,,,,,,,,
23,0.00114314270716198,0.280503421568113,-8.77782970909458E-06,0,0,0,1.43510756506963,0.0454390891995773,-0.000856673001975266,3.90396133077447E-07,0.00110168876372508,2.58050967768601E-05,0.0445403613227143,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/23.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/23.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指指尖-中段-後段-內結構-ASM-007-000-1/中指後段內結構007-1,23,Axis_23,23,revolute,-0.0148000000000002,0.15794479572498,0.0509197056703083,1.5707963267949,-1.30672692427107,-1.5707963267949,24,1,0,0,0,0,0,0,,,,,,,,
22,0.00271775134913654,0.216797700634566,-2.24080395766491E-08,0,0,0,0.68765830321605,0.0106900864677109,-0.000529216130522426,-1.05524895676916E-10,0.000407184125791434,1.54027503059935E-09,0.0104055874771164,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/22.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/22.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指指尖-中段-後段-內結構-ASM-007-000-1/大.中指中段內結構007-001-1,22,Axis_22,22,revolute,0.00249999995736316,0.601000000000004,0,0,0,0,23,-1,0,0,0,0,0,0,,,,,,,,
21,-0.00504759232521323,0.170284458432228,1.70786262493339E-08,0,0,0,0.254975979560504,0.00393584126953663,6.61562103924652E-06,1.37611161329207E-11,8.90586450025596E-05,-2.26120131308233E-10,0.00384993660682433,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/21.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/21.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指指尖-中段-後段-內結構-ASM-007-000-1/大.中指指尖內結構007-1,21,Axis_21,21,revolute,0.0130000000000194,0.428000000000001,0,0,0,0,22,1,0,0,0,0,0,0,,,,,,,,
14,0.0234472748060257,0.106354153219238,0.0271426137735653,0,0,0,0.584870520281729,0.00124681080539021,1.05678565519017E-05,6.03055663415399E-08,0.000469905022534379,-0.000284161876885498,0.00119388625488136,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/14.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/14.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指指尖段+中段+後段+搖重量評估-ASM-007-1/大.小.無名.食指後段-搖擺-軸心-內結構007-ASM-001-1/小.無名.食指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-無名指-聯桿-007-ASM-001-2/eRob90-無名指-聯桿-007-001-1,14,Axis_14,14,revolute,0.472336167630784,1.1555709123701,-0.0995939623002705,-0.292070498161887,1.47161680290526,-0.211392467143742,J3,-1,0,0,0,0,0,0,,,,,,,,
13,-0.000713160506434551,0.263769430801133,-7.44986420297966E-06,0,0,0,1.31712010988165,0.0359585663187578,-0.000726506447987195,2.71528737985508E-07,0.000934016889303608,1.88781282814537E-05,0.0352084522111661,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/13.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/13.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指指尖段+中段+後段+搖重量評估-ASM-007-1/食指指尖段+中段+後段重量評估-ASM-007-1/無名.食指後段內結構007-1,13,Axis_13,13,revolute,-0.00479999995492504,0.163737247319438,0.0193720679030289,-1.5707963267953,-1.57031143397751,1.5707963267953,14,1,0,0,0,0,0,0,,,,,,,,
12,0.00326838319615375,0.188848918175391,2.49012740718979E-07,0,0,0,0.627982183370657,0.00763113050343618,-0.00043899139475755,-1.23393427301031E-09,0.000374296687737466,-1.5764161045848E-08,0.00737345660373267,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/12.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/12.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指指尖段+中段+後段+搖重量評估-ASM-007-1/食指指尖段+中段+後段重量評估-ASM-007-1/食指指尖段+中段重量評估-ASM-007-1/食指中段內結構007-001-1,12,Axis_12,12,revolute,0.000499999957365271,0.558999999999999,0,0,0,0,13,-1,0,0,0,0,0,0,,,,,,,,
11,-0.00503006591890831,0.142315529828402,1.82729602143938E-08,0,0,0,0.228674567484864,0.00257593218336541,5.5291070922766E-06,1.24538883979758E-11,7.78710704663166E-05,-1.82736829391651E-10,0.00250092408656466,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/11.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/11.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指指尖段+中段+後段+搖重量評估-ASM-007-1/食指指尖段+中段+後段重量評估-ASM-007-1/食指指尖段+中段重量評估-ASM-007-1/食指指尖段重量評估-ASM-007-1/小指.無名指.食指指尖內結構007-1,11,Axis_11,11,revolute,0.0130000000000182,0.378000000000001,0,0,0,0,12,1,0,0,0,0,0,0,,,,,,,,
55,0.123445799523467,-0.0309974250049863,-0.0180239393116912,0,0,0,0.579597470379413,0.000625185179385426,0.000332745012655276,-3.05649316022471E-05,0.00172513791407252,-3.08351029289997E-06,0.00162714567038465,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/55.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/55.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指後段-搖擺-軸心-內結構007-ASM-001-1/中指後段-搖擺-內結構007-1,55,Axis_55,55,revolute,0.252074118886262,0.168962691504214,0.121484379887695,-1.32959577200728,0.16250693878004,0.273370686595133,J3,0,0,1,0,0,0,0,,,,,,,,
54,0.363981588871995,-0.000996967532939985,0.0284590033499341,0,0,0,3.79276355872235,0.0064765408161169,0.00131886063626488,-0.0055065429927938,0.0579512059755492,0.000637870628354918,0.054396069473432,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/54.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/54.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指指尖段+中段+搖1+掌段重量評估-ASM-007-1/大拇指掌段-搖-內結構-AMS-007-1/大拇指掌段-搖擺-內結構007-1,54,Axis_54,54,revolute,0.16247565612759,-0.0108478446718678,0.0147999999999973,1.39963819876773,0,0.0880899702733852,55,0,0.170323668694754,-0.985388171170306,0,0,0,0,,,,,,,,
53,0.109782138346384,-0.0209400912461452,-0.0247181258221338,0,0,0,0.554491444990991,0.000350263001525429,0.000186605361608125,-3.04605478998284E-06,0.000954566888695729,1.82284018492541E-07,0.000998995341145724,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/53.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/53.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指指尖段+中段+搖1+掌段重量評估-ASM-007-1/eRob80-大拇指-聯桿-007-ASM-002-1/eRob80-大拇指-聯桿-007-001-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指指尖段+中段+搖1+掌段重量評估-ASM-007-1/大拇指中段-搖擺-軸心-內結構007-ASM-001-1/大拇指後段-搖擺-內結構007-1,53,Axis_53,53,revolute,0.441103559406753,-0.00573018607835474,0.0343255730832036,-1.39652766163555,0.188282471226187,0.0329405559591387,54,0,0,1,0,0,0,0,,,,,,,,
52,0.216797701679256,-2.22677334349441E-08,0.00271775176414907,0,0,0,0.687658319447831,0.000407184129006652,1.53257602684704E-09,-0.000529216151883722,0.0104055876272605,-1.01709440132255E-10,0.0106900866272019,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/52.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/52.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指指尖段+中段+搖1+掌段重量評估-ASM-007-1/大拇指指尖段+中段重量評估-ASM-007-1/大.中指中段內結構007-001-1,52,Axis_52,52,revolute,0.165790228836713,-0.0127965574945122,-0.000199999957364527,1.5707963267949,0,-0.00449890490395274,53,0,0,-1,0,0,0,0,,,,,,,,
51,0.170284434140944,1.69536769067946E-08,-0.00504759201476013,0,0,0,0.254975940041666,8.9058633141528E-05,-2.21197633778571E-10,6.61560993313572E-06,0.00384993557480933,1.19537124881712E-11,0.00393584022844232,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/51.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/51.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指指尖段+中段+搖1+掌段重量評估-ASM-007-1/大拇指指尖段+中段重量評估-ASM-007-1/大拇指指尖段重量評估-ASM-007-1/大.中指指尖內結構007-1,51,Axis_51,51,revolute,0.427999999999999,0,0.0129999999999393,0,0,0,52,0,0,1,0,0,0,0,,,,,,,,
25,0.0282092148811094,7.05936731293377E-09,-0.048128929902143,0,0,0,0.33225886549814,0.000551203405593864,-5.05036603086947E-12,7.59022975763006E-06,0.000471044289188928,4.04157111273995E-11,0.000101617279936732,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/25.STL,1,1,1,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/25.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-食指掌段聯桿-007-ASM-001-1/eRob90-食指掌段聯桿-007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指-食指連桿-ASM-007-1/eRob90-食指掌段聯桿-007-000-1,25,Axis_25,25,revolute,0.252474160440315,1.109,-0.0307000000450749,3.0229941844947,-1.5707963267949,0,J3,-1,0,0,0,0,0,0,,,,,,,,
26,0.0385186566001782,7.40280992062026E-09,0.041980228632829,0,0,0,0.50354869826274,0.00152708230198695,5.85472969276947E-12,-0.00020690476595642,0.00139588559475363,9.30992421414827E-11,0.000233252551473875,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/26.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/26.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob110-無名指掌段聯桿-007-ASM-001-1/eRob110-無名指掌段聯桿-007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指-無名指連桿-ASM-007-1/eRob110-無名指掌段聯桿-007-001-1,26,Axis_26,26,revolute,0.0498148799422739,0.853443264854616,-0.00120000000000006,3.1248793786405,-1.5707963267949,0,J3,-1,0,0,0,0,0,0,,,,,,,,
35,0.0407153101232879,-3.68557295793437E-09,0.0346757840046049,0,0,0,0.393088821359469,0.000998832015455755,-7.7913335844366E-12,-0.000162900587291854,0.000943667314468657,-1.49443621997577E-11,0.000146199664753636,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/35.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/35.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-小指掌段聯桿-007-ASM-001-1/eRob90-小指掌段聯桿-007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指-無名指連桿-ASM-007-1/eRob90-小指.無名指掌段聯桿-007-000-2,35,Axis_34,35,revolute,-0.156428089506825,0.944057792966971,0.0297656019149096,0.281643840834246,-1.2077198834197,0.0333688834403459,J3,1,0,0,0,0,0,0,,,,,,,,
